Electorate,Act,Green,Labour,Maori,National,Other
Auckland Central,1.65,35.48,32.48,0,27.46,2.94
Banks Peninsula,3.51,12.72,51.92,0,25.02,6.83
Bay of Plenty,4.64,3.76,37.29,0,44.94,9.37
Botany,3.41,0,41.43,0,52.46,2.71
Christchurch Central,2.7,6.47,60.33,0,24.79,5.72
Christchurch East,3.36,6.82,63.28,0,19.81,6.74
Coromandel,3.35,7.21,38.07,0,45.6,5.77
Dunedin,2.91,15.38,53.67,0,19.16,8.89
East Coast,3.25,5.05,51.7,0,36.42,3.59
East Coast Bays,3.74,6.35,31.37,0,54.86,3.68
Epsom,47.53,7.56,25.05,0,15.59,4.27
Hamilton East,1.85,4.31,47.69,0,40.04,6.11
Hamilton West,3.04,0,53.04,0,36.98,6.94
Hutt South,0.73,2.61,50,0,41.59,5.07
Ilam,4.6,7.59,46.57,0,38.44,2.8
Invercargill,0,2.88,44.92,0,45.49,6.7
Kaikōura,4.33,5.62,37.26,0,42.68,10.11
Kaipara ki Mahurangi,6.67,6.48,35.62,0,45.52,5.71
Kelston,3.47,6.87,64.46,0,18.94,6.25
Mana,0,9.81,61.99,0,23.44,4.75
Māngere,0,6.44,77.06,0,12.37,4.14
Manurewa,0,3.38,73.04,0,12.76,10.82
Maungakiekie,3.38,7.36,44.8,0,43.05,1.42
Mt Albert,0,5.63,71.6,0,19.57,3.2
Mt Roskill,3.68,6.07,61.84,0,24.67,3.75
Napier,2.34,4.77,51.97,0,37.7,3.22
Nelson,3.01,4.66,48.7,0,38.39,5.24
New Lynn,3.54,9.04,57.06,0,24.97,5.4
New Plymouth,1.99,0,48.34,0,42.47,7.2
North Shore,3.84,6.24,37.21,0,46.19,6.52
Northcote,2.06,4.86,48.66,0,42.2,2.22
Northland,2.86,3.91,38.11,0,37.74,17.39
Ōhāriu,1.88,5.16,53.28,0,25.5,14.19
Ōtaki,2.04,4.76,48.71,0,42.06,2.43
Pakuranga,2.59,4.48,31.66,0,59.27,2
Palmerston North,3.15,5.42,59.56,0,26.47,5.39
Panmure-Ōtāhuhu,0,4.61,76.99,0,14.14,4.26
Papakura,3.77,5.03,35.61,0,49.98,5.62
Port Waikato,3.38,3.38,28.53,0,39.4,25.31
Rangitata,3.32,2.03,50.33,0,39.84,4.48
Rangitīkei,4.55,4.87,38.24,0,45.48,6.85
Remutaka,2.23,3.78,68.57,0,20.46,4.96
Rongotai,2.16,15.06,58.11,0,14.45,10.22
Rotorua,2.81,5.04,41.09,0,43.29,7.77
Selwyn,4.46,4.13,37.82,0,49.55,4.03
Southland,0,5.49,36.98,0,51.54,5.99
Taieri,2.92,5,57.19,0,29.12,5.77
Takanini,3.75,0,55.74,0,33.58,6.93
Tāmaki,5.28,8.01,32.92,0,52.74,1.05
Taranaki-King Country,5.99,0,39.25,0,47.15,7.62
Taupō,4.28,4.68,37.04,0,48.9,5.1
Tauranga,4.04,4.41,39.16,0,43.47,8.93
Te Atatū,4.36,5.66,57.57,0,29.11,3.3
Tukituki,2.54,4.38,46.32,0,42.47,4.28
Upper Harbour,4.36,6.34,44.8,0,38.71,5.78
Waikato,5.19,0,38.98,0,51.97,3.86
Waimakariri,2.96,0,43.44,0,46.73,6.87
Wairarapa,2.42,3.06,49.65,0,34.91,9.95
Waitaki,4.15,5.7,37.62,0,45.16,7.37
Wellington Central,1.82,17.68,57.73,0,17.91,4.85
West Coast-Tasman,3.4,5.47,48.46,0,33.96,8.72
Whanganui,0,3.73,55.73,0,35.26,5.28
Whangaparāoa,3.93,0,35.77,0,53.26,7.04
Whangārei,4.93,3.74,40.81,0,39.82,10.69
Wigram,2.81,5.3,63.45,0,24.7,3.73
Hauraki-Waikato,0,0,68.01,26.65,0,5.33
Ikaroa-Rāwhiti,0,8.47,55.57,30.94,0,5.02
Tāmaki Makaurau,0,20.01,40.99,37.29,0,1.71
Te Tai Hauāuru,0,0,48.73,44.51,0,6.75
Te Tai Tokerau,0,0,56.77,25.73,0,17.5
Te Tai Tonga,0,11.73,50.4,26.2,0,11.66
Waiariki,0,0,43.62,46.78,0,9.61
